ID,Date,Element,Data_Value
SZ000008440,2010-01-08,TMAX,7
SZ000008440,2006-02-17,TMAX,92
SZ000008440,2013-04-11,TMAX,162
SZ000008440,2011-01-27,TMIN,-33
SZ000008440,2013-04-01,TMAX,75
SZ000008440,2010-05-22,TMAX,222
SZ000008440,2008-04-10,TMAX,129
SZ000008440,2008-10-21,TMIN,136
SZ000008440,2011-08-03,TMAX,257
SZ000008440,2009-07-07,TMIN,119
SZ000008440,2014-09-12,TMAX,200
SZ000008440,2009-07-10,TMAX,230
SZ000008440,2005-10-10,TMAX,190
SZ000008440,2012-12-24,TMIN,-12
SZ000008440,2007-09-03,TMIN,123
SZ000008440,2013-02-03,TMIN,-9
SZ000008440,2010-09-29,TMAX,164
SZ000008440,2014-05-24,TMIN,94
SZ000008440,2007-09-19,TMIN,63
SZ000008440,2009-08-12,TMIN,146
SZ000008440,2011-11-02,TMAX,142
SZ000008440,2008-01-16,TMIN,43
SZ000008440,2011-01-27,TMAX,39
SZ000008440,2007-09-03,TMAX,223
SZ000008440,2015-06-24,TMAX,235
SZ000008440,2013-08-26,TMIN,98
SZ000008440,2006-10-06,TMAX,191
SZ000008440,2005-04-17,TMIN,16
SZ000008440,2014-09-29,TMIN,112
SZ000008440,2009-09-04,TMAX,212
SZ000008440,2007-09-19,TMAX,169
SZ000008440,2007-01-13,TMAX,111
SZ000008440,2006-04-21,TMAX,217
SZ000008440,2011-02-06,TMAX,101
SZ000008440,2013-03-05,TMIN,-32
SZ000008440,2010-01-03,TMAX,-9
SZ000008440,2009-08-12,TMAX,272
SZ000008440,2008-02-22,TMAX,139
SZ000008440,2008-08-01,TMAX,251
SZ000008440,2014-05-04,TMIN,54
SZ000008440,2007-12-08,TMIN,33
SZ000008440,2010-01-03,TMIN,-70
SZ000008440,2013-04-01,TMIN,15
SZ000008440,2011-05-24,TMAX,280
SZ000008440,2014-09-12,TMIN,111
SZ000008440,2008-04-10,TMIN,70
SZ000008440,2005-06-24,TMIN,200
SZ000008440,2014-03-18,TMAX,225
SZ000008440,2011-11-12,TMIN,45
SZ000008440,2008-09-08,TMIN,114
SZ000008440,2005-10-10,TMIN,56
SZ000008440,2010-05-22,TMIN,98
SZ000008440,2007-07-02,TMAX,208
SZ000008440,2008-02-22,TMIN,4
SZ000008440,2011-02-02,TMIN,-47
SZ000008440,2008-10-25,TMAX,130
SZ000008440,2011-04-06,TMIN,44
SZ000008440,2008-09-08,TMAX,219
SZ000008440,2011-11-12,TMAX,87
SZ000008440,2012-05-26,TMIN,116
SZ000008440,2006-04-22,TMAX,218
SZ000008440,2015-02-27,TMIN,22
SZ000008440,2010-10-04,TMIN,93
SZ000008440,2009-12-31,TMAX,102
SZ000008440,2015-02-27,TMAX,68
SZ000008440,2006-10-06,TMIN,77
SZ000008440,2008-01-16,TMAX,93
SZ000008440,2005-02-08,TMIN,-39
SZ000008440,2015-02-21,TMIN,3
SZ000008440,2009-07-07,TMAX,217
SZ000008440,2005-11-24,TMAX,-2
SZ000008440,2005-11-24,TMIN,-31
SZ000008440,2010-08-07,TMIN,90
SZ000008440,2013-03-05,TMAX,67
SZ000008440,2010-01-06,TMIN,-49
SZ000008440,2014-05-04,TMAX,140
SZ000008440,2013-02-02,TMAX,97
SZ000008440,2005-06-10,TMAX,204
SZ000008440,2006-02-17,TMIN,34
SZ000008440,2010-01-08,TMIN,-18
SZ000008440,2006-04-21,TMIN,56
SZ000008440,2006-04-22,TMIN,77
SZ000008440,2015-02-21,TMAX,70
SZ000008440,2015-10-12,TMAX,147
SZ000008440,2005-06-24,TMAX,333
SZ000008440,2005-02-19,TMAX,7
SZ000008440,2012-12-24,TMAX,114
SZ000008440,2009-07-12,TMAX,297
SZ000008440,2012-05-26,TMAX,242
SZ000008440,2008-10-25,TMIN,44
SZ000008440,2013-08-17,TMIN,149
SZ000008440,2011-05-24,TMIN,112
SZ000008440,2011-02-02,TMAX,16
SZ000008440,2013-08-26,TMAX,209
SZ000008440,2011-01-30,TMIN,-41
SZ000008440,2005-09-30,TMIN,44
SZ000008440,2008-10-21,TMAX,185
SZ000008440,2015-06-24,TMIN,87
SZ000008440,2011-11-02,TMIN,78
SZ000008440,2009-12-31,TMIN,23
SZ000008440,2013-04-11,TMIN,90
SZ000008440,2015-10-12,TMIN,63
SZ000008440,2007-01-13,TMIN,-11
SZ000008440,2011-02-06,TMIN,-44
SZ000008440,2013-08-17,TMAX,272
SZ000008440,2005-06-10,TMIN,69
SZ000008440,2006-10-04,TMIN,65
SZ000008440,2013-02-02,TMIN,19
SZ000008440,2006-07-06,TMAX,226
SZ000008440,2010-04-15,TMAX,117
SZ000008440,2005-09-15,TMIN,118
SZ000008440,2007-12-15,TMAX,5
SZ000008440,2008-12-29,TMIN,-81
SZ000008440,2008-06-07,TMIN,106
SZ000008440,2013-08-04,TMIN,184
SZ000008440,2011-10-29,TMAX,154
SZ000008440,2005-05-21,TMIN,134
SZ000008440,2007-05-11,TMIN,137
SZ000008440,2012-05-12,TMAX,226
SZ000008440,2013-04-03,TMIN,3
SZ000008440,2008-07-31,TMIN,180
SZ000008440,2012-05-12,TMIN,105
SZ000008440,2008-07-31,TMAX,314
SZ000008440,2005-05-21,TMAX,214
SZ000008440,2007-01-23,TMIN,-22
SZ000008440,2008-12-08,TMAX,36
SZ000008440,2006-01-26,TMAX,33
SZ000008440,2013-03-08,TMIN,25
SZ000008440,2013-03-08,TMAX,102
SZ000008440,2015-01-31,TMAX,31
SZ000008440,2015-01-31,TMIN,-34
SZ000008440,2014-07-05,TMAX,263
SZ000008440,2005-07-09,TMIN,87
SZ000008440,2005-07-09,TMAX,218
SZ000008440,2015-10-13,TMAX,146
SZ000008440,2005-09-15,TMAX,245
SZ000008440,2010-11-24,TMIN,0
SZ000008440,2008-12-08,TMIN,-30
SZ000008440,2015-11-01,TMAX,119
SZ000008440,2013-04-03,TMAX,105
SZ000008440,2005-01-23,TMIN,-45
SZ000008440,2013-12-16,TMAX,-3
SZ000008440,2015-04-07,TMIN,29
SZ000008440,2015-04-07,TMAX,119
SZ000008440,2015-11-01,TMIN,40
SZ000008440,2006-01-26,TMIN,-36
SZ000008440,2011-11-13,TMAX,88
SZ000008440,2011-11-13,TMIN,68
SZ000008440,2008-12-29,TMAX,5
SZ000008440,2009-12-23,TMIN,25
SZ000008440,2013-08-09,TMIN,148
SZ000008440,2007-12-15,TMIN,-22
SZ000008440,2015-09-05,TMAX,180
SZ000008440,2007-07-03,TMIN,109
SZ000008440,2011-10-31,TMAX,152
SZ000008440,2009-07-29,TMIN,123
SZ000008440,2015-09-05,TMIN,98
SZ000008440,2015-01-30,TMIN,2
SZ000008440,2012-05-02,TMIN,93
SZ000008440,2008-06-11,TMAX,224
SZ000008440,2014-07-05,TMIN,160
SZ000008440,2011-10-31,TMIN,89
SZ000008440,2005-12-29,TMAX,-16
SZ000008440,2012-04-18,TMAX,135
SZ000008440,2011-02-05,TMIN,-31
SZ000008440,2013-12-17,TMAX,-3
SZ000008440,2007-07-03,TMAX,169
SZ000008440,2015-03-22,TMAX,70
SZ000008440,2011-11-10,TMIN,76
SZ000008440,2010-08-08,TMIN,135
SZ000008440,2015-03-22,TMIN,27
SZ000008440,2012-12-21,TMIN,17
SZ000008440,2014-03-22,TMIN,46
SZ000008440,2007-01-16,TMIN,4
SZ000008440,2007-01-16,TMAX,87
SZ000008440,2013-03-02,TMIN,8
SZ000008440,2010-09-02,TMAX,205
SZ000008440,2012-04-22,TMIN,57
SZ000008440,2008-08-29,TMAX,267
SZ000008440,2012-04-22,TMAX,134
SZ000008440,2011-10-27,TMAX,128
SZ000008440,2010-05-21,TMIN,101
SZ000008440,2014-12-05,TMIN,50
SZ000008440,2013-04-02,TMIN,17
SZ000008440,2011-05-04,TMIN,42
SZ000008440,2007-01-11,TMIN,91
SZ000008440,2008-08-29,TMIN,141
SZ000008440,2014-12-05,TMAX,66
SZ000008440,2015-06-29,TMIN,143
SZ000008440,2005-08-16,TMAX,222
SZ000008440,2011-11-10,TMAX,97
SZ000008440,2010-05-23,TMIN,86
SZ000008440,2007-12-02,TMIN,36
SZ000008440,2014-08-22,TMIN,106
SZ000008440,2009-12-26,TMAX,21
SZ000008440,2005-08-16,TMIN,131
SZ000008440,2012-04-18,TMIN,51
SZ000008440,2013-12-17,TMIN,-36
SZ000008440,2007-08-10,TMIN,105
SZ000008440,2013-08-09,TMAX,234
SZ000008440,2013-08-04,TMAX,289
SZ000008440,2011-10-29,TMIN,82
SZ000008440,2007-08-10,TMAX,214
SZ000008440,2006-01-23,TMIN,-20
SZ000008440,2010-05-21,TMAX,195
SZ000008440,2009-05-04,TMIN,71
SZ000008440,2009-12-26,TMIN,-48
SZ000008440,2010-09-05,TMIN,112
SZ000008440,2010-09-05,TMAX,231
SZ000008440,2010-05-23,TMAX,243
SZ000008440,2015-12-12,TMAX,72
SZ000008440,2009-05-04,TMAX,163
SZ000008440,2005-01-12,TMIN,-22
SZ000008440,2010-10-04,TMAX,214
SZ000008440,2010-11-30,TMIN,-92
SZ000008440,2011-05-27,TMAX,181
SZ000008440,2012-05-08,TMAX,170
SZ000008440,2007-05-11,TMAX,229
SZ000008440,2014-04-16,TMAX,140
SZ000008440,2014-08-11,TMAX,221
SZ000008440,2010-11-03,TMIN,32
SZ000008440,2014-08-22,TMAX,237
SZ000008440,2015-01-30,TMAX,51
SZ000008440,2009-03-05,TMIN,20
SZ000008440,2008-03-16,TMIN,73
SZ000008440,2010-01-04,TMIN,-33
SZ000008440,2010-01-04,TMAX,-14
SZ000008440,2009-05-14,TMIN,140
SZ000008440,2009-12-28,TMAX,39
SZ000008440,2005-02-05,TMIN,-36
SZ000008440,2009-03-05,TMAX,44
SZ000008440,2005-08-12,TMAX,272
SZ000008440,2012-04-28,TMAX,261
SZ000008440,2010-07-05,TMIN,165
SZ000008440,2012-04-28,TMIN,100
SZ000008440,2009-10-05,TMAX,220
SZ000008440,2007-01-28,TMIN,-83
SZ000008440,2005-01-23,TMAX,24
SZ000008440,2009-07-13,TMIN,198
SZ000008440,2011-05-30,TMIN,111
SZ000008440,2006-08-12,TMAX,182
SZ000008440,2010-11-15,TMIN,54
SZ000008440,2009-07-13,TMAX,321
SZ000008440,2005-05-08,TMIN,60
SZ000008440,2014-04-26,TMAX,196
SZ000008440,2005-05-08,TMAX,161
SZ000008440,2006-08-12,TMIN,119
SZ000008440,2014-04-26,TMIN,93
SZ000008440,2007-06-29,TMIN,76
SZ000008440,2005-02-05,TMAX,37
SZ000008440,2009-04-30,TMAX,158
SZ000008440,2009-04-30,TMIN,36
SZ000008440,2014-08-10,TMAX,292
SZ000008440,2005-02-15,TMIN,-13
SZ000008440,2013-02-06,TMIN,1
SZ000008440,2006-02-16,TMIN,49
SZ000008440,2012-10-28,TMAX,46
SZ000008440,2013-08-25,TMIN,124
SZ000008440,2011-11-07,TMIN,74
SZ000008440,2015-10-31,TMAX,104
SZ000008440,2007-01-23,TMAX,36
SZ000008440,2010-01-10,TMAX,-12
SZ000008440,2008-01-31,TMIN,-1
SZ000008440,2013-08-25,TMAX,202
SZ000008440,2010-05-25,TMAX,286
SZ000008440,2013-02-06,TMAX,28
SZ000008440,2006-04-28,TMIN,89
SZ000008440,2006-04-28,TMAX,153
SZ000008440,2010-07-05,TMAX,293
SZ000008440,2011-11-07,TMAX,139
SZ000008440,2008-03-16,TMAX,117
SZ000008440,2015-10-31,TMIN,47
SZ000008440,2009-05-14,TMAX,215
SZ000008440,2007-11-29,TMIN,-42
SZ000008440,2010-05-25,TMIN,120
SZ000008440,2005-08-12,TMIN,114
SZ000008440,2007-01-28,TMAX,37
SZ000008440,2009-01-21,TMIN,-32
SZ000008440,2012-10-28,TMIN,-2
SZ000008440,2009-09-26,TMAX,199
SZ000008440,2008-01-31,TMAX,61
SZ000008440,2012-05-02,TMAX,172
SZ000008440,2009-01-21,TMAX,43
SZ000008440,2015-03-20,TMIN,26
SZ000008440,2007-06-29,TMAX,244
SZ000008440,2009-09-26,TMIN,117
SZ000008440,2014-02-14,TMAX,75
SZ000008440,2008-06-05,TMIN,129
SZ000008440,2010-07-14,TMAX,356
SZ000008440,2008-06-05,TMAX,163
SZ000008440,2007-08-13,TMAX,270
SZ000008440,2008-06-07,TMAX,154
SZ000008440,2013-12-16,TMIN,-32
SZ000008440,2014-08-11,TMIN,140
SZ000008440,2006-02-16,TMAX,126
SZ000008440,2010-05-30,TMIN,128
SZ000008440,2009-05-05,TMIN,45
SZ000008440,2010-05-30,TMAX,183
SZ000008440,2015-10-13,TMIN,49
SZ000008440,2013-02-04,TMIN,-3
SZ000008440,2011-03-25,TMAX,204
SZ000008440,2011-03-25,TMIN,22
