ID,Date,Element,Data_Value
SZ000008440,2005-01-01,TMAX,199
SZ000008440,2006-01-01,TMAX,100
SZ000008440,2007-01-01,TMAX,103
SZ000008440,2015-01-01,TMAX,107
SZ000008440,2005-01-01,TMIN,3
SZ000008440,2006-01-01,TMIN,2
SZ000008440,2007-01-01,TMIN,1
SZ000008440,2015-01-01,TMIN,5
SZ000008440,2005-02-02,TMIN,21
SZ000008440,2006-02-02,TMIN,22
SZ000008440,2007-02-02,TMIN,23
SZ000008440,2015-02-02,TMIN,23
SZ000008440,2005-02-02,TMAX,234
SZ000008440,2006-02-02,TMAX,238
SZ000008440,2007-02-02,TMAX,210
SZ000008440,2015-02-02,TMAX,255
