Day,2015Max,2015Min,10yMax,10yMin
1900-01-01,,,110.0,-55.0
1900-01-02,,,97.0,-61.0
1900-01-03,106.0,,83.0,-70.0
1900-01-04,114.0,,84.0,-67.0
1900-01-05,,,105.0,-79.0
1900-01-06,,-50.0,107.0,-49.0
1900-01-07,,,129.0,-90.0
1900-01-08,,,156.0,-45.0
1900-01-09,,,136.0,-44.0
1900-01-10,159.0,,154.0,-88.0
1900-01-11,,,135.0,-56.0
1900-01-12,,,123.0,-59.0
1900-01-13,,,126.0,-86.0
1900-01-14,,,117.0,-36.0
1900-01-15,,,113.0,-58.0
1900-01-16,,,93.0,-76.0
1900-01-17,,,126.0,-78.0
1900-01-18,,,126.0,-70.0
1900-01-19,,,138.0,-51.0
1900-01-20,,,145.0,-34.0
1900-01-21,,,131.0,-46.0
1900-01-22,,,110.0,-34.0
1900-01-23,,,98.0,-51.0
1900-01-24,,,89.0,-66.0
1900-01-25,,,82.0,-54.0
1900-01-26,,,78.0,-94.0
1900-01-27,,,75.0,-112.0
1900-01-28,,,91.0,-106.0
1900-01-29,,,83.0,-65.0
1900-01-30,,,119.0,-74.0
1900-01-31,,,106.0,-100.0
1900-02-01,,,98.0,-93.0
1900-02-02,,,97.0,-74.0
1900-02-03,,,86.0,-98.0
1900-02-04,,,108.0,-101.0
1900-02-05,,,117.0,-113.0
1900-02-06,,,122.0,-112.0
1900-02-07,,,121.0,-111.0
1900-02-08,,,113.0,-98.0
1900-02-09,,,100.0,-88.0
1900-02-10,,,104.0,-82.0
1900-02-11,,,149.0,-85.0
1900-02-12,,,108.0,-86.0
1900-02-13,,,120.0,-114.0
1900-02-14,,,106.0,-100.0
1900-02-15,,,150.0,-60.0
1900-02-16,,,126.0,-77.0
1900-02-17,,,99.0,-55.0
1900-02-18,,,113.0,-55.0
1900-02-19,,,128.0,-55.0
1900-02-20,,,123.0,-58.0
1900-02-21,,,128.0,-58.0
1900-02-22,,,146.0,-68.0
1900-02-23,,,149.0,-48.0
1900-02-24,,,158.0,-54.0
1900-02-25,,,150.0,-47.0
1900-02-26,,,149.0,-68.0
1900-02-27,,,131.0,-58.0
1900-02-28,,,143.0,-78.0
1900-03-01,,,138.0,-98.0
1900-03-02,,,182.0,-93.0
1900-03-03,,,178.0,-51.0
1900-03-04,,,140.0,-43.0
1900-03-05,,,123.0,-35.0
1900-03-06,,,149.0,-59.0
1900-03-07,,,145.0,-78.0
1900-03-08,,,149.0,-37.0
1900-03-09,,,150.0,-51.0
1900-03-10,,,160.0,-41.0
1900-03-11,149.0,,149.0,-61.0
1900-03-12,,,144.0,-42.0
1900-03-13,,,175.0,-62.0
1900-03-14,,,175.0,-47.0
1900-03-15,,,184.0,-52.0
1900-03-16,,,220.0,-63.0
1900-03-17,,,197.0,-33.0
1900-03-18,,,225.0,-35.0
1900-03-19,,,210.0,-20.0
1900-03-20,,,189.0,-20.0
1900-03-21,,,192.0,-19.0
1900-03-22,,,166.0,-25.0
1900-03-23,,,193.0,-15.0
1900-03-24,,,191.0,-48.0
1900-03-25,,,210.0,1.0
1900-03-26,,,227.0,-13.0
1900-03-27,,,194.0,5.0
1900-03-28,,,190.0,-17.0
1900-03-29,,,207.0,16.0
1900-03-30,,,194.0,1.0
1900-03-31,,,193.0,-7.0
1900-04-01,,,201.0,1.0
1900-04-02,,,211.0,-6.0
1900-04-03,,,230.0,3.0
1900-04-04,,,196.0,8.0
1900-04-05,,,191.0,-5.0
1900-04-06,,,218.0,-3.0
1900-04-07,,,241.0,-16.0
1900-04-08,,-8.0,240.0,0.0
1900-04-09,,,244.0,-9.0
1900-04-10,,,228.0,23.0
1900-04-11,,,223.0,14.0
1900-04-12,,,226.0,12.0
1900-04-13,,,226.0,10.0
1900-04-14,,,244.0,-4.0
1900-04-15,,,253.0,31.0
1900-04-16,,,246.0,4.0
1900-04-17,,,251.0,13.0
1900-04-18,,,255.0,27.0
1900-04-19,,,210.0,33.0
1900-04-20,,,232.0,9.0
1900-04-21,,46.0,234.0,48.0
1900-04-22,,,259.0,22.0
1900-04-23,,,253.0,35.0
1900-04-24,,,259.0,43.0
1900-04-25,,,257.0,21.0
1900-04-26,,,239.0,58.0
1900-04-27,,,229.0,32.0
1900-04-28,,,261.0,25.0
1900-04-29,,27.0,268.0,36.0
1900-04-30,,,264.0,3.0
1900-05-01,,,280.0,18.0
1900-05-02,,,254.0,64.0
1900-05-03,,,234.0,53.0
1900-05-04,,,254.0,42.0
1900-05-05,,,232.0,27.0
1900-05-06,,,246.0,57.0
1900-05-07,,,245.0,56.0
1900-05-08,,,259.0,52.0
1900-05-09,,,274.0,62.0
1900-05-10,,,285.0,51.0
1900-05-11,,,300.0,48.0
1900-05-12,287.0,,232.0,50.0
1900-05-13,300.0,,246.0,38.0
1900-05-14,246.0,,236.0,32.0
1900-05-15,,,251.0,52.0
1900-05-16,,,241.0,33.0
1900-05-17,,,266.0,12.0
1900-05-18,254.0,,252.0,47.0
1900-05-19,,,254.0,61.0
1900-05-20,,75.0,284.0,77.0
1900-05-21,,75.0,280.0,88.0
1900-05-22,,,279.0,65.0
1900-05-23,,,271.0,53.0
1900-05-24,,,338.0,35.0
1900-05-25,,,322.0,43.0
1900-05-26,,,297.0,38.0
1900-05-27,,,293.0,23.0
1900-05-28,,59.0,303.0,62.0
1900-05-29,,,306.0,56.0
1900-05-30,,,300.0,36.0
1900-05-31,250.0,,238.0,56.0
1900-06-01,,,257.0,32.0
1900-06-02,,,296.0,53.0
1900-06-03,294.0,,287.0,94.0
1900-06-04,302.0,,264.0,72.0
1900-06-05,314.0,,285.0,73.0
1900-06-06,312.0,,285.0,77.0
1900-06-07,287.0,,283.0,75.0
1900-06-08,,,323.0,70.0
1900-06-09,,,334.0,80.0
1900-06-10,,,302.0,69.0
1900-06-11,,,292.0,70.0
1900-06-12,,,290.0,91.0
1900-06-13,,,301.0,84.0
1900-06-14,,,307.0,70.0
1900-06-15,,,311.0,78.0
1900-06-16,,,298.0,116.0
1900-06-17,,,295.0,118.0
